,CONTROL,TUITFTE,INEXPFTE,AVGFACSAL,OPENADMP,ADM_RATE,SAT_AVG,ACTCMMID,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4_NOLOANNOPELL,FTFTPCTPELL,DEBT_MDN,C100_4_POOLED,C150_4_POOLED,MEDIAN_HH_INC,POVERTY_RATE,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PFTFAC,DEP_STAT_PCT_IND,REGION,DEBT_MDN_SUPP,UG25ABV,CDR3,CDR2,MN_EARN_WNE_INC1_P10,MN_EARN_WNE_INC2_P10,MN_EARN_WNE_INC3_P10
139,1,3495.0,7052.0,6703.0,2.0,0.9055,1116.0,22.0,20429.0,8530.0,10180.0,0.4115,0.2016,12350.0,0.1875,0.3398,45548.96,12.109999656677198,0.4818861415,0.1880391029,0.134560092,0.1196089707,0.0759056929,0.9951,0.1713628522,5,12350,0.1278,0.073,0.11699999999999999,40500,38800,42600
140,2,10750.0,13440.0,7708.0,2.0,0.7217,1346.0,30.0,59901.0,45790.0,45790.0,0.765,0.3757,20043.0,0.6671,0.7264,63550.03,8.050000190734862,0.2341269841,0.1329365079,0.1845238095,0.15873015869999998,0.28968253969999996,1.0,0.0238095238,5,20043,0.0057,0.034,0.05,38200,42700,47700
143,2,11732.0,9688.0,7049.0,2.0,0.7715,1257.0,27.0,38834.0,26928.0,26928.0,0.7133,0.3221,18025.0,0.5915,0.6962,56884.69,8.050000190734862,0.28051948050000003,0.1493506494,0.1987012987,0.1480519481,0.2233766234,0.9848,0.3194805195,5,18025,0.1334,0.038,0.04,45500,53200,63900
151,2,10407.0,9781.0,6418.0,2.0,0.636,1193.0,25.0,37349.0,26790.0,26790.0,0.6968,0.3077,14778.0,0.5676,0.6407,61306.22,8.659999847412111,0.22605965460000002,0.16797488230000002,0.1538461538,0.18995290420000002,0.262166405,1.0,0.04395604400000001,5,14778,0.0162,0.073,0.055,47400,44700,46200
154,2,8782.0,8379.0,6740.0,2.0,0.5232,,,35136.0,24230.0,24230.0,0.5522,0.4324,5500.0,0.3732,0.5015,51329.59,10.1899995803833,0.393258427,0.1404494382,0.18820224719999998,0.15449438199999999,0.1235955056,0.7647,0.0814606742,5,5500,0.0318,0.15,0.11199999999999999,38500,34900,42200
156,2,7747.0,4954.0,6045.0,1.0,,,,25290.0,13014.0,13014.0,0.7037,0.8519,9500.0,0.2629,0.3543,45434.78,16.479999542236303,0.69348659,0.17369093230000002,0.0753512133,0.04214559389999999,0.015325670500000001,1.0,0.2413793103,5,9500,0.1302,0.239,0.141,24300,PrivacySuppressed,PrivacySuppressed
166,2,8050.0,4743.0,5355.0,2.0,0.5639,1034.0,20.0,28424.0,17320.0,17320.0,0.5238,0.493,12500.0,0.3234,0.4015,42485.2,12.130000114440902,0.36153846149999996,0.1653846154,0.21538461539999998,0.1538461538,0.10384615380000001,0.9615,0.11538461539999999,5,12500,0.0425,0.095,0.076,31000,38700,39900
168,1,4716.0,5838.0,6861.0,2.0,0.6878,1105.0,22.0,22116.0,8756.0,12866.0,0.4692,0.542,11000.0,0.2538,0.3817,42416.87,14.6599998474121,0.4877232143,0.18973214289999998,0.13616071429999999,0.1021205357,0.0842633929,0.6629,0.171875,5,11000,0.1255,0.159,0.126,35500,41000,45700
171,1,3377.0,5871.0,6921.0,1.0,,,,16434.0,5593.0,12666.0,0.45,0.5728,8306.0,0.1754,0.3068,45327.2,11.3500003814697,0.4976005906,0.1790328535,0.1631598376,0.100036914,0.060169804400000006,0.6499,0.29235880399999997,5,8306,0.2196,0.16399999999999998,0.19699999999999998,30800,38300,43200
172,3,31908.0,16263.0,8492.0,1.0,,,,39735.0,22308.0,22308.0,0.4707,0.3444,12877.0,0.0658,0.39799999999999996,74015.06,7.55999994277954,0.5880630631,0.1524774775,0.11103603599999999,0.07117117120000001,0.0772522523,0.2147,0.5209459459,8,12877,0.3934,0.057999999999999996,0.109,44800,48500,49500
